Node Number,Height,Location,Area,Mass Flow,Pressure,Velocity,Velocity.Curl,Velocity.Helicity,Wall Shear,X,Y,Z
0,Low,IN,1.71392571e-06,4.34988295e-04,1.60180771e+04,3.95995498e-01,5.21930771e+01,1.53882465e+01,null,2.28118640e-03,-1.35338324e-20,5.22957835e-03
1,Low,IN,1.65852452e-06,3.49464477e-04,1.60028330e+04,3.96581531e-01,6.39688988e+01,1.90409069e+01,null,2.10826122e-03,-1.26649826e-20,4.57862532e-03
2,Low,IN,2.79942969e-06,2.50184559e-04,1.59858623e+04,3.91427696e-01,9.01423035e+01,2.58764076e+01,null,2.57867831e-03,2.98116772e-19,3.21189384e-03
3,Low,IN,1.80568043e-06,2.05455857e-04,1.60017451e+04,3.97586256e-01,8.78929596e+01,2.56838970e+01,null,3.26482393e-03,2.91285009e-19,2.97662220e-03
4,Low,IN,1.97454506e-06,3.35744669e-04,1.60296797e+04,3.97817224e-01,5.77223701e+01,1.80029545e+01,null,4.25739354e-03,-1.58770872e-20,4.25151549e-03
5,Low,IN,1.91152458e-06,4.46510443e-04,1.60105723e+04,3.94851327e-01,6.67917404e+01,1.91960678e+01,null,2.88531161e-03,4.35621187e-18,-3.80647182e-03
6,Low,IN,1.55616954e-06,2.85999122e-04,1.59897295e+04,3.93372625e-01,9.69194946e+01,2.70647392e+01,null,2.08916003e-03,2.71543067e-18,-2.96090334e-03
7,Low,IN,2.02872161e-06,2.85771646e-04,1.59948271e+04,3.97235960e-01,9.04819794e+01,2.76711998e+01,null,6.39388338e-04,8.28473444e-19,-3.98661103e-03
8,Low,IN,1.57004024e-06,4.57923714e-04,1.60179648e+04,3.96590143e-01,6.57801285e+01,2.15881386e+01,null,1.01651193e-03,1.79635112e-18,-4.97887144e-03
9,Low,IN,1.72221075e-06,2.39236833e-04,1.60016836e+04,3.97418827e-01,7.89521866e+01,2.25102997e+01,null,-1.94386311e-03,-2.53732584e-21,4.33010189e-03
10,Low,IN,2.49440245e-06,2.35137471e-04,1.59906172e+04,3.93071949e-01,8.14916916e+01,2.39094696e+01,null,-4.71713109e-04,-6.25329277e-21,4.26022103e-03
11,Low,IN,1.37428094e-06,3.48869653e-04,1.60026709e+04,3.95500511e-01,6.07154465e+01,1.69311504e+01,null,6.70245499e-05,-9.44806827e-21,5.00459503e-03
12,Low,IN,1.51218467e-06,4.86103236e-04,1.60171611e+04,3.95593315e-01,5.12729759e+01,1.36920538e+01,null,6.19839921e-05,-9.88812835e-21,5.50862309e-03
13,Low,IN,1.89968841e-06,3.73239338e-04,1.60223105e+04,3.96077991e-01,5.24041100e+01,1.32169352e+01,null,-2.17267615e-03,-4.62566628e-21,5.20874141e-03
14,Low,IN,2.29198758e-06,5.17751905e-04,1.60265869e+04,3.95213276e-01,6.86000595e+01,1.28267593e+01,null,5.02158469e-03,3.95097443e-18,1.16208372e-04
15,Low,IN,2.01631246e-06,3.24720488e-04,1.59985225e+04,3.91333312e-01,9.50315781e+01,2.55475559e+01,null,3.67999310e-03,2.61415109e-18,4.29596053e-04
16,Low,IN,2.42549550e-06,3.14727280e-04,1.59800420e+04,3.82717073e-01,1.07898361e+02,3.07226753e+01,null,3.45354923e-03,2.61233812e-18,1.79005438e-04
17,Low,IN,1.67824487e-06,3.09463619e-04,1.59941904e+04,3.94391477e-01,9.09855042e+01,2.18262920e+01,null,3.86964437e-03,3.54024038e-18,-1.82766328e-03
18,Low,IN,1.70522185e-06,4.05488827e-04,1.60130479e+04,3.92964959e-01,7.30213165e+01,1.57131500e+01,null,4.23437729e-03,4.73533769e-18,-2.01672106e-03
19,Low,IN,7.31733451e-07,3.37169593e-04,1.60302842e+04,3.99507999e-01,5.54025383e+01,1.67066898e+01,null,-5.20883687e-03,-5.06203273e-21,3.59208067e-03
20,Low,IN,1.40417387e-06,9.11236275e-04,1.60175264e+04,3.97590458e-01,5.71718254e+01,1.96848145e+01,null,-5.35251806e-03,-2.14047955e-18,2.47961655e-03
21,Low,IN,1.63807954e-06,2.13244653e-04,1.60073799e+04,3.97387385e-01,6.07049141e+01,1.81875038e+01,null,-4.74705035e-03,-1.65243100e-18,2.40141712e-03
22,Low,IN,1.53120709e-06,2.09474543e-04,1.60122666e+04,3.97203356e-01,5.54198723e+01,1.50544224e+01,null,-3.93675454e-03,9.26648778e-22,3.80877685e-03
23,Low,IN,1.34990614e-06,3.82048544e-04,1.60281055e+04,3.97326916e-01,5.18411865e+01,1.25812559e+01,null,-4.24490077e-03,-3.13113933e-21,4.25610226e-03
24,Low,IN,2.33618130e-06,1.98530237e-04,1.59961533e+04,3.94290745e-01,7.44679260e+01,2.11105957e+01,null,-2.50892527e-03,1.50382617e-21,3.68292211e-03
25,Low,IN,2.17398929e-06,1.91466752e-04,1.59838721e+04,3.94605547e-01,9.18730316e+01,2.91983662e+01,null,-3.80000612e-03,-2.02603374e-18,8.56644590e-04
26,Low,IN,2.12425584e-06,9.73370392e-04,1.60042930e+04,3.95998716e-01,5.83801918e+01,2.02537308e+01,null,-5.17675932e-03,-3.31076621e-18,2.88115640e-04
27,Low,IN,1.79289054e-06,2.48318422e-04,1.59830811e+04,3.97554100e-01,9.11714401e+01,3.06971569e+01,null,-3.87608586e-03,-2.27571242e-18,6.73168630e-04
28,Low,IN,3.84019677e-06,1.23046193e-04,1.59573398e+04,2.85032123e-01,1.52027695e+02,4.30973091e+01,null,1.80442032e-04,2.40243313e-19,-5.38246386e-05
29,Low,IN,4.10862231e-06,2.47806136e-04,1.59634258e+04,3.47498953e-01,1.27118713e+02,3.53010635e+01,null,1.34939724e-03,4.93317438e-19,-5.43479749e-04
30,Low,IN,2.35254493e-06,2.77934480e-04,1.60058838e+04,3.97796005e-01,8.53501968e+01,2.39518356e+01,null,3.75531032e-03,6.24129382e-19,2.31026113e-03
31,Low,IN,4.11105566e-06,1.98743655e-04,1.59728311e+04,3.71863395e-01,1.09554886e+02,2.90100956e+01,null,4.98951122e-04,3.27358640e-19,2.25138245e-03
32,Low,IN,3.98395605e-06,1.32660338e-04,1.59618486e+04,3.21683109e-01,1.43721771e+02,3.92764282e+01,null,-1.45089492e-04,1.76184262e-19,1.00964261e-03
33,Low,IN,1.95111011e-06,4.65770689e-04,1.60391846e+04,3.97448838e-01,6.29896965e+01,1.30588074e+01,null,5.21177053e-03,1.66259560e-18,2.39904667e-03
34,Low,IN,1.54640611e-06,2.59076565e-04,1.59916416e+04,3.94050986e-01,8.49417648e+01,2.39439392e+01,null,-2.63907830e-03,-3.00280438e-18,-3.28365038e-03
35,Low,IN,2.18620175e-06,2.40924739e-04,1.59739063e+04,3.84634435e-01,1.03237274e+02,3.11053925e+01,null,-2.96205166e-03,-1.73982429e-18,-1.34593633e-03
36,Low,IN,1.82034455e-06,1.97799862e-04,1.59802041e+04,3.92695278e-01,8.95623856e+01,2.88106041e+01,null,-3.30952462e-03,-1.78684247e-18,-1.16192945e-03
37,Low,IN,2.02634851e-06,4.10534005e-04,1.60000400e+04,3.94305825e-01,6.08251381e+01,1.95392799e+01,null,-4.27057734e-03,-2.77106394e-18,-1.74992543e-03
38,Low,IN,1.67593464e-06,3.43893043e-04,1.60070137e+04,3.92616600e-01,6.46031876e+01,1.74476871e+01,null,-2.89673079e-03,-3.89167799e-18,-3.53049510e-03
39,Low,IN,4.03892363e-06,1.28347558e-04,1.59741045e+04,3.79039347e-01,1.14315620e+02,3.53790359e+01,null,-2.08823313e-03,-1.18903904e-19,1.68192363e-03
40,Low,IN,2.25138047e-06,2.42542475e-04,1.59775742e+04,3.85995209e-01,1.05507713e+02,2.67187481e+01,null,2.13022553e-03,2.61631706e-18,-2.73920619e-03
41,Low,IN,1.72036948e-06,3.34749755e-04,1.60200820e+04,3.96689475e-01,6.84296494e+01,1.73091946e+01,null,-1.06943445e-03,-2.39812791e-18,-4.86419350e-03
42,Low,IN,1.51989536e-06,1.35706883e-04,1.59943213e+04,3.93814743e-01,9.56938171e+01,2.80694046e+01,null,-5.23721566e-04,-1.54599881e-18,-3.75579647e-03
43,Low,IN,2.22572316e-06,2.36861757e-04,1.59802412e+04,3.86648864e-01,1.05656288e+02,3.13855972e+01,null,-7.78766640e-04,-2.13227909e-18,-3.39947292e-03
44,Low,IN,3.91507456e-06,2.18709960e-04,1.59625049e+04,3.50789517e-01,1.43095947e+02,4.38425369e+01,null,-8.44087685e-04,1.95744198e-20,-1.21491414e-03
45,Low,IN,9.28683789e-07,2.99266918e-04,1.60433721e+04,3.99499834e-01,6.08398285e+01,1.59471235e+01,null,5.14076976e-03,-1.64116802e-20,3.56376171e-03
46,Low,IN,8.41696647e-07,3.03941692e-04,1.60275264e+04,3.99335474e-01,6.95606155e+01,2.06876411e+01,null,-2.92422283e-05,-2.09392268e-19,-5.37632592e-03
47,Low,IN,8.27786039e-07,9.82190133e-04,1.60341504e+04,0.00000000e+00,2.89749420e+02,0.00000000e+00,5.27090836e+00,-4.03449312e-03,-1.38777878e-17,-5.10714250e-03
48,Low,IN,6.38551398e-07,9.21772735e-04,1.60570117e+04,0.00000000e+00,2.63323395e+02,0.00000000e+00,5.03454113e+00,-1.51154120e-03,-7.35492191e-18,-6.80859759e-03
49,Low,IN,1.26998475e-06,1.19036948e-03,1.60503594e+04,3.97283345e-01,1.26855515e+02,9.77575493e+00,null,-1.32435851e-03,-5.62803473e-18,-6.27365196e-03
50,Low,IN,1.67617281e-06,1.34570408e-03,1.60295449e+04,3.94356668e-01,1.46439987e+02,7.86498165e+00,null,-3.68278846e-03,-1.09809905e-17,-4.67008585e-03
51,Low,IN,1.29837724e-06,5.01039205e-04,1.60363535e+04,3.97242665e-01,4.27087288e+01,1.18510418e+01,null,-1.20574818e-03,-4.11875147e-18,-5.61464485e-03
52,Low,IN,1.72326054e-06,6.01460284e-04,1.60194795e+04,3.94194365e-01,3.68043518e+01,1.19516411e+01,null,-3.31549929e-03,-7.66239818e-18,-4.13620379e-03
53,Low,IN,8.85578515e-07,7.71279912e-04,1.60399561e+04,3.99016351e-01,5.09845276e+01,1.69603481e+01,null,-1.81331761e-05,-1.29929020e-19,-6.18095836e-03
54,Low,IN,8.59533941e-07,1.04545988e-03,1.60533223e+04,3.99008632e-01,1.46374557e+02,1.31456814e+01,null,-8.75910609e-06,-6.20170328e-20,-6.88695954e-03
55,Low,IN,1.18368803e-06,9.74845723e-04,1.60359053e+04,3.97512853e-01,1.69405884e+02,1.44940252e+01,null,1.27596443e-03,5.44801169e-18,-6.32764818e-03
56,Low,IN,1.22188601e-06,7.21609569e-04,1.60289082e+04,3.97468597e-01,4.76619682e+01,1.80525913e+01,null,1.15534046e-03,3.73985395e-18,-5.69664920e-03
57,Low,IN,4.40417921e-07,5.26146498e-04,1.60594473e+04,0.00000000e+00,2.54238815e+02,0.00000000e+00,4.66001701e+00,4.26361677e-17,0.00000000e+00,-7.50133954e-03
58,Low,IN,5.90517402e-07,4.58787981e-04,1.60380000e+04,0.00000000e+00,3.00522614e+02,0.00000000e+00,4.68259716e+00,1.45377603e-03,7.30702650e-18,-6.84457179e-03
59,Low,IN,8.47571016e-07,8.99318722e-04,1.60487383e+04,3.99230927e-01,1.57188644e+02,1.25111217e+01,null,-6.48919307e-03,1.91046753e-21,4.33890289e-03
60,Low,IN,4.33103196e-07,6.37701072e-04,1.60526318e+04,0.00000000e+00,2.55499039e+02,0.00000000e+00,4.46733904e+00,-7.01059029e-03,0.00000000e+00,4.64135921e-03
61,Low,IN,5.88981379e-07,7.10443652e-04,1.60277666e+04,0.00000000e+00,2.97711914e+02,0.00000000e+00,4.46815586e+00,-7.16846157e-03,-7.30058359e-18,3.05345701e-03
62,Low,IN,1.17779655e-06,1.49091554e-03,1.60283340e+04,3.98129255e-01,1.78825439e+02,1.41275043e+01,null,-6.63802121e-03,-5.55087408e-18,2.94315699e-03
63,Low,IN,8.73876502e-07,5.44829003e-04,1.60395098e+04,3.99258971e-01,5.44600029e+01,1.47783871e+01,null,-5.89044625e-03,4.10764766e-21,3.99041921e-03
64,Low,IN,1.28591364e-06,4.42557095e-04,1.60416777e+04,3.97955030e-01,3.49297447e+01,8.66046333e+00,null,-4.80120722e-03,1.66555432e-21,4.74930089e-03
65,Low,IN,1.25345844e-06,3.95632000e-04,1.60535469e+04,3.97920817e-01,1.29253647e+02,9.13370705e+00,null,-5.29198768e-03,7.68426959e-22,5.18059498e-03
66,Low,IN,1.55560178e-06,1.11617276e-03,1.60167715e+04,3.95609409e-01,1.62130234e+02,9.49234581e+00,null,-6.47556130e-03,-1.08207739e-17,1.83100638e-04
67,Low,IN,1.60369007e-06,1.52155408e-03,1.60131709e+04,3.95666897e-01,3.95058823e+01,1.54743805e+01,null,-5.86841069e-03,-7.31084063e-18,2.30947262e-04
68,Low,IN,1.21126254e-06,1.53161690e-03,1.60254854e+04,3.98172140e-01,5.66546097e+01,1.79354343e+01,null,-6.03729393e-03,-3.95492959e-18,2.72632274e-03
69,Low,IN,7.67431175e-07,3.51850991e-04,1.60171543e+04,0.00000000e+00,2.93618958e+02,0.00000000e+00,4.99090338e+00,-6.99925749e-03,-1.38777878e-17,1.17674041e-04
